fiscal_year,county_fips,state,agency,naics_code,naics_description,is_small_business,is_woman_owned,is_veteran_owned,total_obligation
2021,37031,NC,Department of Defense,325998,ALL OTHER MISCELLANEOUS CHEMICAL PRODUCT AND PREPARATION MANUFACTURING,true,false,false,752016.9099999999
2021,13021,GA,Department of Defense,326299,ALL OTHER RUBBER PRODUCT MANUFACTURING,true,false,false,26562.65
2021,06077,CA,Department of Defense,562910,REMEDIATION SERVICES,true,false,false,3631504.25
2021,48323,TX,Department of Homeland Security,541614,"PROCESS, PHYSICAL DISTRIBUTION, AND LOGISTICS CONSULTING SERVICES",true,false,true,46401144.89
2021,55079,WI,Department of Defense,332813,"ELECTROPLATING, PLATING, POLISHING, ANODIZING, AND COLORING",true,true,true,5192.0
2021,06105,CA,Department of Agriculture,115310,SUPPORT ACTIVITIES FOR FORESTRY,true,false,false,828052.1
2021,51013,VA,Department of Veterans Affairs,541512,COMPUTER SYSTEMS DESIGN SERVICES,true,false,true,499676.04
2021,51710,VA,Department of Defense,238210,ELECTRICAL CONTRACTORS AND OTHER WIRING INSTALLATION CONTRACTORS,true,false,false,525887.23
2021,42043,PA,Department of Defense,333618,OTHER ENGINE EQUIPMENT MANUFACTURING,true,false,false,315195.01
2021,51121,VA,Department of Defense,541330,ENGINEERING SERVICES,true,false,false,8601174.15
2021,36103,NY,Department of Defense,335312,MOTOR AND GENERATOR MANUFACTURING,true,false,true,2589100.6199999996
2021,21207,KY,Department of Defense,336112,LIGHT TRUCK AND UTILITY VEHICLE MANUFACTURING,true,false,true,151771.55
2021,38017,ND,Department of Veterans Affairs,339115,OPHTHALMIC GOODS MANUFACTURING,true,false,true,1033890.0
2021,34005,NJ,Department of Transportation,336112,LIGHT TRUCK AND UTILITY VEHICLE MANUFACTURING,true,false,false,1127797.0
2021,72127,PR,Department of Veterans Affairs,541330,ENGINEERING SERVICES,true,false,true,3185848.42
2021,25017,MA,Department of Defense,532490,OTHER COMMERCIAL AND INDUSTRIAL MACHINERY AND EQUIPMENT RENTAL AND LEASING,true,false,false,134794.03999999998
2021,09003,CT,Department of Defense,336412,AIRCRAFT ENGINE AND ENGINE PARTS MANUFACTURING,true,false,false,1472154.97
2021,26163,MI,Department of Defense,326299,ALL OTHER RUBBER PRODUCT MANUFACTURING,true,true,false,53747.83
2021,40109,OK,Department of Transportation,236220,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,true,false,false,11715806.67
2021,39049,OH,Department of Defense,541512,COMPUTER SYSTEMS DESIGN SERVICES,true,false,false,1383682.29
2021,42011,PA,Department of Defense,332999,ALL OTHER MISCELLANEOUS FABRICATED METAL PRODUCT MANUFACTURING,true,false,false,3529.3
2021,06071,CA,Department of Veterans Affairs,339113,SURGICAL APPLIANCE AND SUPPLIES MANUFACTURING,true,false,true,179162.04
2021,36091,NY,Department of the Interior,561730,LANDSCAPING SERVICES,true,false,true,50000.0
2021,27137,MN,Department of Defense,811212,COMPUTER AND OFFICE MACHINE REPAIR AND MAINTENANCE,true,true,false,35612.33
2021,46093,SD,Department of Defense,237990,OTHER HEAVY AND CIVIL ENGINEERING CONSTRUCTION,true,true,true,347266.57999999996
2021,51059,VA,Department of Justice,811212,COMPUTER AND OFFICE MACHINE REPAIR AND MAINTENANCE,true,false,false,3348382.83
2021,40027,OK,Department of Defense,541990,"ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",true,false,false,4430621.149999999
2021,21111,KY,Department of Defense,332420,METAL TANK (HEAVY GAUGE) MANUFACTURING,true,false,true,995799.0
2021,05131,AR,Department of the Interior,236220,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,true,true,true,316896.74
